Index, Title, Genre Vec 
86,Mabel at the Wheel,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
87,Mabel's Blunder,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
88,Mabel's Married Life,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
89,Mabel's Strange Predicament,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
90,Making a Living,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
91,The Masquerader,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
92,Neptune's Daughter,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
93,The New Janitor,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
94,The Perils of Pauline,[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
95,The Property Man,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
97,Rose of the Rancho,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
98,The Rounders,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
99,Salomy Jane,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
100,Should a Woman Divorce?,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
101,The Squaw Man,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
103,Those Love Pangs,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
104,Tillie's Punctured Romance,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
105,The Wrath of the Gods,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
106,After Five,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
107,Anna Karenina,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
111,Carmen,[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
112,The Champion,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
113,The Cheat,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
114,Chimmie Fadden Out West,[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
115,Enoch Arden,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
116,A Fool There Was,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
